app_year,companyno,companyname,scompanyno,controlno,city,town,companyaddr,ccksicco1,sicname1,co2,ch4,n2o,hfcs,pfcs,sf6,nf3,tot2,tot,cause,check_yn,cityno,townno
111,12617727,曜智實業股份有限公司嘉義廠,0001,Q76A0767,嘉義縣,太保市,嘉義縣太保市過溝里嘉太工業區中興路11號,1140,印染整理業,25007.1182,17.6700,116.7266,21.0330,0.0000,0.0000,0.00,5844.6788,31007.227,依法申報,是,,
111,12529007,環泰企業股份有限公司南崁廠,0001,H4602313,桃園市,蘆竹區,桃園市蘆竹區南青路1156巷75號,0893,製糖業,22833.4103,2879.1825,112.9122,17.3563,0.0000,0.0000,0.00,4508.9679,30351.829,依法申報,是,,
111,12488060,國瑞汽車股份有限公司中壢工廠,0001,H4303235,桃園市,中壢區,桃園市中壢區內定里定寧路七三號、七三之一號,3020,車體製造業,9339.8269,194.1950,58.0504,614.3588,0.0000,0.0000,0.00,28086.1377,38292.569,依法申報,是,,
111,12233428,大連化學工業股份有限公司大發廠,0003,S2005652,高雄市,大寮區,高雄市大寮區過溪里華西路8-1號,1810,基本化學材料製造業,89462.6721,45.6100,22.4990,2444.4984,0.0000,0.0000,0.00,568358.6617,660333.941,依法申報,是,,
111,12233428,大連化學工業股份有限公司高雄廠,0002,S2300465,高雄市,大社區,興工路1-3號,1810,基本化學材料製造業,32362.0529,26.3625,12.1584,3212.8500,0.0000,0.0000,0.00,45926.6289,81540.053,依法申報,是,,
111,12233428,大連化學工業股份有限公司麥寮廠,0001,P5802387,雲林縣,麥寮鄉,雲林縣麥寮鄉中興村台塑工業園區二五號,1810,基本化學材料製造業,108628.2469,41.8325,45.8026,371.8000,0.0000,0.0000,0.00,735915.8906,845003.573,依法申報,是,,
111,12209807,南帝化學工業股份有限公司,0001,S1900649,高雄市,林園區,工業一路9號,1842,合成橡膠製造業,1062.6018,23.4175,0.5066,34.1116,0.0000,0.0000,0.00,31164.7219,32285.359,依法申報,是,,
111,85978401,裕鐵企業股份有限公司岡山二廠,0001,S2602473,高雄市,燕巢區,高雄市燕巢區安招里安招路639-1號,2544,金屬表面處理業,20783.2394,37.2400,15.2278,12.9456,0.0000,0.0000,0.00,35443.3499,56292.003,依法申報,是,,
111,85803825,高雄塑酯化學工業股份有限公司,0001,S2300447,高雄市,大社區,興工路1號,1820,石油化工原料製造業,64932.4286,10.6025,0.6854,3146.0000,0.0000,0.0000,0.00,20582.1540,88671.871,依法申報,是,,
111,85793919,龍慶鋼鐵企業股份有限公司,0001,E5600798,高雄市,小港區,利昌街4號,2413,鋼鐵軋延及擠型業,26533.4886,24.1325,14.0060,15.0906,0.0000,0.0000,0.00,49218.0480,75804.766,依法申報,是,,
